DATE,ADMIN1,ADMIN2,MARKET,LATITUDE,LONGITUDE,COMMODITY,PRICETYPE,PRICE
3/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Retail,38.9
3/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,32.81
3/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Retail,37.94
3/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Wholesale,34.44
3/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Retail,33.65
3/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Wholesale,34.4
3/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Retail,42.39
3/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Wholesale,43.35
3/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,36.94
3/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Retail,38.6
3/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Wholesale,36.19
3/15/2019,Region IV-B,Palawan,Puerto Princesa,9.74,118.74,"Rice (regular, milled)",Retail,38.9
3/15/2019,Region IV-B,Palawan,Puerto Princesa,9.74,118.74,"Rice (regular, milled)",Wholesale,31.4
3/15/2019,Region IX,Zamboanga del Sur,Zamboanga City,6.91,122.07,"Rice (regular, milled)",Retail,42.01
3/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Retail,38.2
3/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Wholesale,32.5
3/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Retail,44.51
3/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,31.6
3/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,47.13
3/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Wholesale,43.65
3/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,42.62
3/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,33.73
3/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Retail,37.63
3/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Wholesale,31.42
3/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Retail,40
3/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Wholesale,36.6
3/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Wholesale,40.46
3/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Retail,36.49
3/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,38.09
3/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,40.51
3/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Wholesale,36.98
3/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Wholesale,35.66
3/15/2019,Region XIII,Surigao del Sur,Tandag,9.08,126.2,"Rice (regular, milled)",Retail,38.49
4/15/2019,Autonomous region in Muslim Mindanao,Maguindanao,Shariff Aguak,6.86,124.44,"Rice (regular, milled)",Retail,40.6
4/15/2019,Cordillera Administrative region,Benguet,La Trinidad,16.45,120.59,"Rice (regular, milled)",Wholesale,34.12
4/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,43.56
4/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Wholesale,34.76
4/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Retail,40.25
4/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Wholesale,35.4
4/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Wholesale,29.8
4/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,35.83
4/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Wholesale,36.2
4/15/2019,Region IV-B,Palawan,Puerto Princesa,9.74,118.74,"Rice (regular, milled)",Wholesale,35.53
4/15/2019,Region IX,Zamboanga del Sur,Zamboanga City,6.91,122.07,"Rice (regular, milled)",Wholesale,35.48
4/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Wholesale,31.83
4/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Retail,50.63
4/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Wholesale,38
4/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,34.85
4/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,45.99
4/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Wholesale,43.3
4/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,42.11
4/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,40.3
4/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Wholesale,32.83
4/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Wholesale,36.85
4/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Retail,45.13
4/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Wholesale,37.97
4/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,33.28
4/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,40.8
4/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Wholesale,36.64
4/15/2019,Region XIII,Surigao del Sur,Tandag,9.08,126.2,"Rice (regular, milled)",Wholesale,35.43
5/15/2019,Autonomous region in Muslim Mindanao,Maguindanao,Shariff Aguak,6.86,124.44,"Rice (regular, milled)",Retail,40.6
5/15/2019,Cordillera Administrative region,Benguet,La Trinidad,16.45,120.59,"Rice (regular, milled)",Retail,36.48
5/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Retail,36.01
5/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,31.25
5/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Wholesale,35.4
5/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Wholesale,29.36
5/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,35.22
5/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Wholesale,37.07
5/15/2019,Region IV-B,Palawan,Puerto Princesa,9.74,118.74,"Rice (regular, milled)",Wholesale,35.36
5/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Wholesale,31.65
5/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Wholesale,37.93
5/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Retail,44.11
5/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,34.91
5/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,44.83
5/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,41.21
5/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Wholesale,32.44
5/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Wholesale,36.63
5/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,32.44
5/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,41.27
5/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Wholesale,36.2
5/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Wholesale,33.9
6/15/2019,Cordillera Administrative region,Benguet,La Trinidad,16.45,120.59,"Rice (regular, milled)",Retail,36.52
6/15/2019,Region I,Pangasinan,Lingayen,16.02,120.23,"Rice (regular, milled)",Wholesale,35.4
6/15/2019,Region II,Cagayan,Tuguegarao City,17.61,121.73,"Rice (regular, milled)",Wholesale,29.2
6/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,35.74
6/15/2019,Region IV-A,Rizal,Santa Cruz,14.61,121.17,"Rice (regular, milled)",Wholesale,37
6/15/2019,Region IX,Zamboanga del Sur,Zamboanga City,6.91,122.07,"Rice (regular, milled)",Wholesale,35.9
6/15/2019,Region V,Albay,Legazpi City,13.14,123.73,"Rice (regular, milled)",Wholesale,31.48
6/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,34.1
6/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,39.1
6/15/2019,Region VIII,Southern Leyte,Catarman,10.14,125,"Rice (regular, milled)",Wholesale,32.12
6/15/2019,Region X,Lanao del Norte,Tubod,8.22,124.25,"Rice (regular, milled)",Wholesale,36.67
6/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,31.65
6/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Wholesale,32.96
6/15/2019,Region XIII,Surigao del Sur,Tandag,9.08,126.2,"Rice (regular, milled)",Wholesale,32.68
7/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,42.21
7/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Wholesale,33.23
7/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,29.98
7/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Retail,41.77
7/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Wholesale,39.62
7/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,36.47
7/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Retail,51.01
7/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Wholesale,36.86
7/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Retail,43.23
7/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,32.91
7/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,44.27
7/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Wholesale,41.7
7/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,40.9
7/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,39.3
7/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Retail,43.83
7/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Wholesale,36.76
7/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Retail,37.62
7/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,31.58
7/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Wholesale,35.66
7/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Retail,39.33
8/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,41.91
8/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Wholesale,34.51
8/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,30.65
8/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Wholesale,38.76
8/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,36.36
8/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Retail,50.8
8/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Wholesale,36.6
8/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Retail,43.8
8/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,44.04
8/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Wholesale,41.53
8/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,40.17
8/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,39.25
8/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Retail,43.21
8/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,30.86
8/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,41.64
9/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Wholesale,33.86
9/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,29.83
9/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Retail,41.64
9/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Wholesale,39.69
9/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,36.47
9/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Wholesale,36.28
9/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Retail,42.5
9/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,31.6
9/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,44.04
9/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Wholesale,41.6
9/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,39.48
9/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,39.35
9/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Retail,43.07
9/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,31.78
9/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,41.37
9/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Retail,38.66
9/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Wholesale,29.26
10/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,41.93
10/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Wholesale,33.4
10/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,29.9
10/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Retail,41.54
10/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,36.59
10/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Retail,46.49
10/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Retail,40.38
10/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,30.48
10/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Retail,42.6
10/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (milled, superior)",Wholesale,41.83
10/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Retail,38.42
10/15/2019,Region VII,Cebu,Cebu City,10.31,123.89,"Rice (regular, milled)",Wholesale,39.37
10/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Retail,43.02
10/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,32.93
10/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,38
10/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Wholesale,28.53
11/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,41.81
11/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Wholesale,33.01
11/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,28.97
11/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Wholesale,39.5
11/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,35.03
11/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Retail,46.3
11/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (milled, superior)",Wholesale,34.8
11/15/2019,Region VI,Iloilo,Iloilo City,10.7,122.56,"Rice (regular, milled)",Wholesale,30.4
11/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Retail,42.33
11/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (milled, superior)",Wholesale,36.09
11/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Retail,36.14
11/15/2019,Region XI,Davao del Sur,Davao City,7.18,125.44,"Rice (regular, milled)",Wholesale,31.1
11/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Retail,35.97
11/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (milled, superior)",Wholesale,29.58
11/15/2019,Region XII,South Cotabato,Koronadal,6.5,124.85,"Rice (regular, milled)",Retail,34
12/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (milled, superior)",Retail,41.69
12/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Retail,36.71
12/15/2019,National Capital region,Metropolitan Manila,Metro Manila,14.6,120.98,"Rice (regular, milled)",Wholesale,29
12/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (milled, superior)",Retail,41.11
12/15/2019,Region III,Nueva Ecija,Palayan,15.54,121.08,"Rice (regular, milled)",Retail,35.68
